2023-06-30 10:41:21,581; INFO; on; [sup: G2S0_E1S1_E2S0 -> G2S1_E1S0_E2S0]
2023-06-30 10:41:21,582; INFO; off; [sup: G2S1_E1S0_E2S0 -> G2S0_E1S0_E2S0]
2023-06-30 10:41:22,584; INFO; btn; [sup: G2S0_E1S0_E2S0 -> G2S0_E1S1_E2S1]
2023-06-30 10:41:22,587; INFO; on; [sup: G2S0_E1S1_E2S1 -> G2S1_E1S0_E2S1]
2023-06-30 10:41:23,588; INFO; btn; [sup: G2S1_E1S0_E2S1 -> G2S1_E1S1_E2S0]
2023-06-30 10:41:23,590; INFO; off; [sup: G2S1_E1S1_E2S0 -> G2S0_E1S1_E2S0]
2023-06-30 10:41:23,592; INFO; on; [sup: G2S0_E1S1_E2S0 -> G2S1_E1S0_E2S0]
2023-06-30 10:41:23,593; INFO; off; [sup: G2S1_E1S0_E2S0 -> G2S0_E1S0_E2S0]
2023-06-30 10:41:24,595; INFO; btn; [sup: G2S0_E1S0_E2S0 -> G2S0_E1S1_E2S1]
2023-06-30 10:41:24,598; INFO; on; [sup: G2S0_E1S1_E2S1 -> G2S1_E1S0_E2S1]
2023-06-30 10:41:25,600; INFO; btn; [sup: G2S1_E1S0_E2S1 -> G2S1_E1S1_E2S0]
2023-06-30 10:41:25,602; INFO; off; [sup: G2S1_E1S1_E2S0 -> G2S0_E1S1_E2S0]
2023-06-30 10:41:25,603; INFO; on; [sup: G2S0_E1S1_E2S0 -> G2S1_E1S0_E2S0]
2023-06-30 10:41:25,603; INFO; off; [sup: G2S1_E1S0_E2S0 -> G2S0_E1S0_E2S0]
2023-06-30 10:41:26,607; INFO; btn; [sup: G2S0_E1S0_E2S0 -> G2S0_E1S1_E2S1]
2023-06-30 10:41:26,610; INFO; on; [sup: G2S0_E1S1_E2S1 -> G2S1_E1S0_E2S1]
2023-06-30 10:41:27,611; INFO; btn; [sup: G2S1_E1S0_E2S1 -> G2S1_E1S1_E2S0]
2023-06-30 10:41:27,614; INFO; off; [sup: G2S1_E1S1_E2S0 -> G2S0_E1S1_E2S0]
2023-06-30 10:41:27,616; INFO; on; [sup: G2S0_E1S1_E2S0 -> G2S1_E1S0_E2S0]
2023-06-30 10:41:27,617; INFO; off; [sup: G2S1_E1S0_E2S0 -> G2S0_E1S0_E2S0]
2023-06-30 10:41:28,619; INFO; btn; [sup: G2S0_E1S0_E2S0 -> G2S0_E1S1_E2S1]
2023-06-30 10:41:28,622; INFO; on; [sup: G2S0_E1S1_E2S1 -> G2S1_E1S0_E2S1]
2023-06-30 10:41:29,623; INFO; btn; [sup: G2S1_E1S0_E2S1 -> G2S1_E1S1_E2S0]
2023-06-30 10:41:29,625; INFO; off; [sup: G2S1_E1S1_E2S0 -> G2S0_E1S1_E2S0]
2023-06-30 10:41:29,627; INFO; on; [sup: G2S0_E1S1_E2S0 -> G2S1_E1S0_E2S0]
2023-06-30 10:41:29,629; INFO; off; [sup: G2S1_E1S0_E2S0 -> G2S0_E1S0_E2S0]
2023-06-30 10:42:32,042; INFO; btn; [sup: G2S0_E1S0_E2S0 -> G2S0_E1S1_E2S1]
2023-06-30 10:42:32,044; INFO; on; [sup: G2S0_E1S1_E2S1 -> G2S1_E1S0_E2S1]
2023-06-30 10:42:33,045; INFO; btn; [sup: G2S1_E1S0_E2S1 -> G2S1_E1S1_E2S0]
2023-06-30 10:42:33,047; INFO; off; [sup: G2S1_E1S1_E2S0 -> G2S0_E1S1_E2S0]
2023-06-30 10:42:33,049; INFO; on; [sup: G2S0_E1S1_E2S0 -> G2S1_E1S0_E2S0]
2023-06-30 10:42:33,050; INFO; off; [sup: G2S1_E1S0_E2S0 -> G2S0_E1S0_E2S0]
2023-06-30 10:42:34,052; INFO; btn; [sup: G2S0_E1S0_E2S0 -> G2S0_E1S1_E2S1]
2023-06-30 10:42:34,054; INFO; on; [sup: G2S0_E1S1_E2S1 -> G2S1_E1S0_E2S1]
2023-06-30 10:42:35,055; INFO; btn; [sup: G2S1_E1S0_E2S1 -> G2S1_E1S1_E2S0]
2023-06-30 10:42:35,057; INFO; off; [sup: G2S1_E1S1_E2S0 -> G2S0_E1S1_E2S0]
2023-06-30 10:42:35,058; INFO; on; [sup: G2S0_E1S1_E2S0 -> G2S1_E1S0_E2S0]
2023-06-30 10:42:35,060; INFO; off; [sup: G2S1_E1S0_E2S0 -> G2S0_E1S0_E2S0]
2023-06-30 10:43:04,205; INFO; btn; [sup: G2S0_E1S0_E2S0 -> G2S0_E1S1_E2S1]
2023-06-30 10:43:04,206; INFO; on; [sup: G2S0_E1S1_E2S1 -> G2S1_E1S0_E2S1]
2023-06-30 10:43:05,208; INFO; btn; [sup: G2S1_E1S0_E2S1 -> G2S1_E1S1_E2S0]
2023-06-30 10:43:05,209; INFO; off; [sup: G2S1_E1S1_E2S0 -> G2S0_E1S1_E2S0]
2023-06-30 10:43:05,211; INFO; on; [sup: G2S0_E1S1_E2S0 -> G2S1_E1S0_E2S0]
2023-06-30 10:43:05,213; INFO; off; [sup: G2S1_E1S0_E2S0 -> G2S0_E1S0_E2S0]
2023-06-30 10:43:06,216; INFO; btn; [sup: G2S0_E1S0_E2S0 -> G2S0_E1S1_E2S1]
2023-06-30 10:43:06,218; INFO; on; [sup: G2S0_E1S1_E2S1 -> G2S1_E1S0_E2S1]
2023-06-30 10:43:07,219; INFO; btn; [sup: G2S1_E1S0_E2S1 -> G2S1_E1S1_E2S0]
2023-06-30 10:43:07,222; INFO; off; [sup: G2S1_E1S1_E2S0 -> G2S0_E1S1_E2S0]
2023-06-30 10:43:07,224; INFO; on; [sup: G2S0_E1S1_E2S0 -> G2S1_E1S0_E2S0]
2023-06-30 10:43:07,226; INFO; off; [sup: G2S1_E1S0_E2S0 -> G2S0_E1S0_E2S0]
2023-06-30 10:43:08,227; INFO; btn; [sup: G2S0_E1S0_E2S0 -> G2S0_E1S1_E2S1]
2023-06-30 10:43:08,229; INFO; on; [sup: G2S0_E1S1_E2S1 -> G2S1_E1S0_E2S1]
2023-06-30 10:49:52,913; INFO; btn; [sup: G2S0_E1S0_E2S0 -> G2S0_E1S1_E2S1]
2023-06-30 10:49:52,914; INFO; on; [sup: G2S0_E1S1_E2S1 -> G2S1_E1S0_E2S1]
2023-06-30 10:49:53,916; INFO; btn; [sup: G2S1_E1S0_E2S1 -> G2S1_E1S1_E2S0]
2023-06-30 10:49:53,918; INFO; off; [sup: G2S1_E1S1_E2S0 -> G2S0_E1S1_E2S0]
2023-06-30 10:49:53,920; INFO; on; [sup: G2S0_E1S1_E2S0 -> G2S1_E1S0_E2S0]
2023-06-30 10:49:53,921; INFO; off; [sup: G2S1_E1S0_E2S0 -> G2S0_E1S0_E2S0]
